(10.1667,10.0817)
(10.3333,10.1617)
(10.5,10.24)
(10.6667,10.3167)
(10.8333,10.3917)
(11,10.465)
(11.1667,10.5367)
(11.3333,10.6067)
(11.5,10.675)
(11.6667,10.7417)
(11.8333,10.8067)
(12,10.87)
(12.1667,10.9317)
(12.3333,10.9917)
(12.5,11.05)
(12.6667,11.1067)
(12.8333,11.1617)
(13,11.215)
(13.1667,11.2667)
(13.3333,11.3167)
(13.5,11.365)
(13.6667,11.4117)
(13.8333,11.4567)
(14,11.5)
(14.1667,11.5417)
(14.3333,11.5817)
(14.5,11.62)
(14.6667,11.6567)
(14.8333,11.6917)
(15,11.725)
(15.1667,11.7567)
(15.3333,11.7867)
(15.5,11.815)
(15.6667,11.8417)
(15.8333,11.8667)
(16,11.89)
(16.1667,11.9117)
(16.3333,11.9317)
(16.5,11.95)
(16.6667,11.9667)
(16.8333,11.9817)
(17,11.995)
(17.1667,12.0067)
(17.3333,12.0167)
(17.5,12.025)
(17.6667,12.0317)
(17.8333,12.0367)
(18,12.04)
(18.1667,12.0417)
(18.3333,12.0417)
(18.5,12.04)
(18.6667,12.0367)
(18.8333,12.0317)
(19,12.025)
(19.1667,12.0167)
(19.3333,12.0067)
(19.5,11.995)
(19.6667,11.9817)
(19.8333,11.9667)
(20,11.95)
(20.1667,11.9317)
(20.3333,11.9117)
(20.5,11.89)
(20.6667,11.8667)
(20.8333,11.8417)
(21,11.815)
(21.1667,11.7867)
(21.3333,11.7567)
(21.5,11.725)
(21.6667,11.6917)
(21.8333,11.6567)
(22,11.62)
(22.1667,11.5817)
(22.3333,11.5417)
(22.5,11.5)
(22.6667,11.4567)
(22.8333,11.4117)
(23,11.365)
(23.1667,11.3167)
(23.3333,11.2667)
(23.5,11.215)
(23.6667,11.1617)
(23.8333,11.1067)
(24,11.05)
(24.1667,10.9917)
(24.3333,10.9317)
(24.5,10.87)
(24.6667,10.8067)
(24.8333,10.7417)
(25,10.675)
(25.1667,10.6067)
